UAN#~#MEMBER NAME#~#GROSS WAGES#~#EPF WAGES#~#EPS WAGES#~#EDLI WAGES#~#EPF CONTRI REMITTED#~#EPS CONTRI REMITTED#~#EPF EPS DIFF REMITTED#~#NCP DAYS#~#REFUND OF ADVANCES
112345667780Rohini K.R160001500015000150001800149.941650.06
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
#~##~##~##~##~##~##~##~##~##~#
